Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 24/dic/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 24/dic/2019 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.0000,
BCA,EOLICA,2,             0.3950,
BCA,EOLICA,3,             0.3950,
BCA,EOLICA,4,             0.3950,
BCA,EOLICA,5,             1.6750,
BCA,EOLICA,6,             1.6750,
BCA,EOLICA,7,             1.6750,
BCA,EOLICA,8,             0.9050,
BCA,EOLICA,9,             0.9050,
BCA,EOLICA,10,             0.9050,
BCA,EOLICA,11,             0.3950,
BCA,EOLICA,12,             0.3950,
BCA,EOLICA,13,             0.3950,
BCA,EOLICA,14,             0.9050,
BCA,EOLICA,15,             0.9050,
BCA,EOLICA,16,             0.9050,
BCA,EOLICA,17,             0.3950,
BCA,EOLICA,18,             0.3950,
BCA,EOLICA,19,             0.3950,
BCA,EOLICA,20,             0.3950,
BCA,EOLICA,21,             0.3950,
BCA,EOLICA,22,             0.3950,
BCA,EOLICA,23,             0.3950,
BCA,EOLICA,24,             0.3950,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             0.7900,
BCA,FOTOVOLTAICA,8,            11.3200,
BCA,FOTOVOLTAICA,9,            29.3500,
BCA,FOTOVOLTAICA,10,            38.3200,
BCA,FOTOVOLTAICA,11,            38.1200,
BCA,FOTOVOLTAICA,12,            37.4700,
BCA,FOTOVOLTAICA,13,            37.6900,
BCA,FOTOVOLTAICA,14,            38.8500,
BCA,FOTOVOLTAICA,15,            36.9900,
BCA,FOTOVOLTAICA,16,            21.0100,
BCA,FOTOVOLTAICA,17,             3.1600,
BCA,FOTOVOLTAICA,18,             0.0000,
BCA,FOTOVOLTAICA,19,             0.0000,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0150,
BCS,FOTOVOLTAICA,8,             4.9170,
BCS,FOTOVOLTAICA,9,            18.0020,
BCS,FOTOVOLTAICA,10,            27.0040,
BCS,FOTOVOLTAICA,11,            32.0050,
BCS,FOTOVOLTAICA,12,            33.0050,
BCS,FOTOVOLTAICA,13,            32.0070,
BCS,FOTOVOLTAICA,14,            32.0060,
BCS,FOTOVOLTAICA,15,            25.0050,
BCS,FOTOVOLTAICA,16,            22.0020,
BCS,FOTOVOLTAICA,17,            10.0010,
BCS,FOTOVOLTAICA,18,             1.1960,
BCS,FOTOVOLTAICA,19,             0.0000,
BCS,FOTOVOLTAICA,20,             0.0000,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          2347.0190,
SIN,EOLICA,2,          2362.3940,
SIN,EOLICA,3,          2324.7900,
SIN,EOLICA,4,          2282.1650,
SIN,EOLICA,5,          2247.1550,
SIN,EOLICA,6,          2229.2520,
SIN,EOLICA,7,          2223.1230,
SIN,EOLICA,8,          2205.2190,
SIN,EOLICA,9,          2208.5340,
SIN,EOLICA,10,          2215.3840,
SIN,EOLICA,11,          2274.1950,
SIN,EOLICA,12,          2398.9460,
SIN,EOLICA,13,          2473.7880,
SIN,EOLICA,14,          2482.8070,
SIN,EOLICA,15,          2490.7990,
SIN,EOLICA,16,          2492.2800,
SIN,EOLICA,17,          2515.0810,
SIN,EOLICA,18,          2540.5360,
SIN,EOLICA,19,          2646.2930,
SIN,EOLICA,20,          2666.1420,
SIN,EOLICA,21,          2679.0540,
SIN,EOLICA,22,          2692.5810,
SIN,EOLICA,23,          2630.4780,
SIN,EOLICA,24,          2569.8330,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
SIN,FOTOVOLTAICA,7,             1.1200,
SIN,FOTOVOLTAICA,8,           201.8530,
SIN,FOTOVOLTAICA,9,          1030.3750,
SIN,FOTOVOLTAICA,10,          1933.8480,
SIN,FOTOVOLTAICA,11,          2632.3710,
SIN,FOTOVOLTAICA,12,          2787.5570,
SIN,FOTOVOLTAICA,13,          2784.3710,
SIN,FOTOVOLTAICA,14,          2792.9730,
SIN,FOTOVOLTAICA,15,          2782.4190,
SIN,FOTOVOLTAICA,16,          2658.6620,
SIN,FOTOVOLTAICA,17,          2111.3300,
SIN,FOTOVOLTAICA,18,           702.6370,
SIN,FOTOVOLTAICA,19,            57.9800,
SIN,FOTOVOLTAICA,20,             0.0000,
SIN,FOTOVOLTAICA,21,             0.0000,
SIN,FOTOVOLTAICA,22,             0.0000,
SIN,FOTOVOLTAICA,23,             0.0000,
SIN,FOTOVOLTAICA,24,             0.0000,


